Title,Annotation,PDF
"Title:
Alpha Enhancement and the Metallicity Distribution Function of Plaut's  Window","
Abstract: We present Fe, Si, and Ca abundances for 61 giants in Plaut's Window
(l=-1,b=-8.5) and Fe abundances for an additional 31 giants in a second, nearby
field (l=0,b=-8) derived from high resolution (R~25,000) spectra obtained with
the Blanco 4m telescope and Hydra multifiber spectrograph. The median
metallicity of red giant branch (RGB) stars in the Plaut field is ~0.4 dex
lower than those in Baade's Window, and confirms the presence of an iron
abundance gradient along the bulge minor axis. The full metallicity range of
our (biased) RGB sample spans -1.5<[Fe/H]<+0.3, which is similar to that found
in other bulge fields. We also derive a photometric metallicity distribution
function for RGB stars in the (l=-1,b=-8.5) field and find very good agreement
with the spectroscopic metallicity distribution. The radial velocity and
dispersion data for the bulge RGB stars are in agreement with previous results
of the BRAVA survey, and we find evidence for a decreasing velocity dispersion
with increasing [Fe/H]. The [alpha/Fe] enhancement in Plaut field stars is
nearly identical to that observed in Baade's window, and suggests that an
[alpha/Fe] gradient does not exist between b=-4 and -8. Additionally, a subset
of our sample (23 stars) appear to be foreground red clump stars that are very
metal--rich, exhibit small metallicity and radial velocity dispersions, and are
enhanced in alpha elements. While these stars likely belong to the Galactic
inner disk population, they exhibit [alpha/Fe] ratios that are enhanced above
the thin and thick disk.
",https://export.arxiv.org/pdf/1103.2143
"Title:
On the dynamical evolution of globular clusters","
Abstract: This paper is an English translation of Michel H\'enon's thesis, ""Sur
l'\'evolution dynamique des amas globulaires"" originally published in French in
the Annales d'Astrophysique, Vol. 24, p.369 (1961).
",https://export.arxiv.org/pdf/1103.3499
"Title:
Gamma-ray observations of the Be/pulsar binary 1A 0535+262 during a  giant X-ray outburst","
Abstract: Giant X-ray outbursts, with luminosities of about $ 10^{37}$ erg s$^{-1}$,
are observed roughly every 5 years from the nearby Be/pulsar binary 1A
0535+262. In this article, we present observations of the source with VERITAS
at very-high energies (VHE; E$>$100 GeV) triggered by the X-ray outburst in
December 2009. The observations started shortly after the onset of the
outburst, and they provided comprehensive coverage of the episode, as well as
the 111-day binary orbit. No VHE emission is evident at any time. We also
examined data from the contemporaneous observations of 1A 0535+262 with the
Fermi/LAT at high energy photons (HE; E$>$0.1 GeV) and failed to detect the
source at GeV energies. The X-ray continua measured with the Swift/XRT and the
RXTE/PCA can be well described by the combination of blackbody and Comptonized
emission from thermal electrons. Therefore, the gamma-ray and X-ray
observations suggest the absence of a significant population of non-thermal
particles in the system. This distinguishes 1A~0535+262 from those Be X-ray
binaries (such as PSR B1259--63 and LS I +61$^{\circ}$303) that have been
detected at GeV--TeV energies. We discuss the implications of the results on
theoretical models.
",https://export.arxiv.org/pdf/1103.3250
"Title:
Ultra High Jet Signals from Stringy No-Scale Supergravity","
Abstract: We present distinctive signatures of flipped F-Theory models with TeV-scale
vector-like particles, a \sqrt{s} = 7 TeV 1 fb^{-1} test at LHC of a class of
models well-motivated from string theory. The characteristic feature is a light
stop and gluino, both sparticles lighter than all other squarks. This unique
aspect of the supersymmetry spectrum generates an ultra-high multiplicity of
hadronic jets. We find the optimal signal to background ratio is realized for 9
or more jets. Exclusion of the essential cuts presented here could leave the
ultra-high jet signal severely attenuated and concealed.
",https://export.arxiv.org/pdf/1103.2362
"Title:
Solar winds along curved magnetic field lines","
Abstract: Both remote-sensing measurements using the interplanetary scintillation (IPS)
technique and in situ measurements by the Ulysses spacecraft show a bimodal
structure for the solar wind at solar minimum conditions. At present what makes
the fast wind fast and the slow wind slow still remains to be answered. While a
robust empirical correlation exists between the coronal expansion rate $f_c$ of
the flow tubes and the speeds $v$ measured in situ, further data analysis
suggests that $v$ depends on more than just $f_c$. We examine whether the
non-radial shape of field lines, which naturally accompanies any non-radial
expansion, could be an additional geometrical factor. We solved the transport
equations incorporating the heating due to turbulent Alfv\'en waves for an
electron-proton solar wind along curved field lines given by an analytical
magnetic field model, representative of a solar minimum corona. The field line
shape is found to influence substantially the solar wind parameters, reducing
the asymptotic speed by up to $\sim 130$ km s$^{-1}$, or by $\sim 28%$ in
relative terms, compared with the case neglecting the field line curvature.
This effect was interpreted in the general framework of energy addition in the
solar wind: Relative to the straight case, the field line curvature enhances
the effective energy deposition to the subsonic flow, resulting in a higher
proton flux and a lower terminal proton speed. Our computations suggest that
the field line curvature could be a geometrical factor which, in addition to
the tube expansion, substantially influences the solar wind speed. Furthermore,
at solar minima although the field line curvature unlikely affects the polar
fast solar wind, it does help make the wind at low latitudes slow, thereby
helping better reproduce the Ulysses measurements.
",https://export.arxiv.org/pdf/1103.5211
"Title:
Seeking Evolution of Dark Energy","
Abstract: We study how observationally to distinguish between a cosmological constant
(CC) and an evolving dark energy with equation of state $\omega(Z)$. We focus
on the value of redshift Z* at which the cosmic late time acceleration begins
and $\ddot{a}(Z^{*}) = 0$. Four $\omega(Z)$ are studied, including the
well-known CPL model and a new model that has advantages when describing the
entire expansion era. If dark energy is represented by a CC model with $\omega
\equiv -1$, the present ranges for $\Omega_{\Lambda}(t_0)$ and $\Omega_m(t_0)$
imply that Z* = 0.743 with 4% error. We discuss the possible implications of a
model independent measurement of Z* with better accuracy.
",https://export.arxiv.org/pdf/1103.2480
"Title:
Coupled Quintessence and the Halo Mass Function","
Abstract: A sufficiently light scalar field slowly evolving in a potential can account
for the dark energy that presently dominates the universe. This quintessence
field is expected to couple directly to matter components, unless some symmetry
of a more fundamental theory protects or suppresses it. Such a coupling would
leave distinctive signatures in the background expansion history of the
universe and on cosmic structure formation, particularly at galaxy cluster
scales. Using semi--analytic expressions for the CDM halo mass function, we
make predictions for halo abundance in models where the quintessence scalar
field is coupled to cold dark matter, for a variety of quintessence potentials.
We evaluate the linearly extrapolated density contrast at the redshift of
collapse using the spherical collapse model and we compare this result to the
corresponding prediction obtained from the non--linear perturbation equations
in the Newtonian limit. For all the models considered in this work, if there is
a continuous flow of energy from the quintessence scalar field to the CDM
component, then the predicted number of CDM haloes can only lie below that of
$\Lambda$CDM, when each model shares the same cosmological parameters today. In
the last stage of our analysis we perform a global MCMC fit to data to find the
best fit values for the cosmological model parameters. We find that for some
forms of the quintessence potential, coupled dark energy models can offer a
viable alternative to $\Lambda$CDM in light of the recent detections of massive
high--$z$ galaxy clusters, while other models of coupled quintessence predict a
smaller number of massive clusters at high redshift compared to $\Lambda$CDM.
",https://export.arxiv.org/pdf/1103.0694
"Title:
The UK Infrared Telescope M33 monitoring project. II. The star formation  history in the central square kiloparsec","
Abstract: We have conducted a near-infrared monitoring campaign at the UK InfraRed
Telescope (UKIRT), of the Local Group spiral galaxy M33 (Triangulum). The main
aim was to identify stars in the very final stage of their evolution, and for
which the luminosity is more directly related to the birth mass than the more
numerous less-evolved giant stars that continue to increase in luminosity. In
this second paper of the series, we construct the birth mass function and hence
derive the star formation history. The star formation rate has varied between
~0.002 and 0.007 M$_\odot$ yr^-1 kpc^-2. We give evidence of two epochs of a
star formation rate enhanced by a factor of a few -- one that happened \geq 6
Gyr ago and produced \geq 80% of the total mass in stars, and one around 250
Myr ago that lasted ~ 200 Myr and formed \leq 6% of the mass in stars. We
construct radial and azimuthal distributions in the image plane and in the
galaxy plane for populations associated with old first-ascent red giant branch
(RGB) stars, intermediate-age Asymptotic Giant Branch (AGB) stars and young
(massive) blue and red supergiants. We find that the RGB stars follow a
spheroidal distribution, while younger stars follow a flat-disc distribution.
The intermediate-age population displays signs of a pseudo-bulge or possibly a
bar. The inner spiral arm pattern as recorded in mid-19^th-century drawings is
confirmed. We interpret our findings as evidence for an old, pressure-supported
component and a younger disc formed 6 Gyr ago, with an accretion event
occurring 250 Myr ago giving rise to the compact nucleus in M33. Our study
provides support for recent Padova stellar evolution models except that
super-AGB stars likely reach low temperatures and thus high mass-loss rates,
supporting the super-AGB nature of the progenitors of dust-enshrouded
supernovae such as SN2008S.
",https://export.arxiv.org/pdf/1103.0755
"Title:
Morphology, dynamics and plasma parameters of plumes and inter-plume  regions in solar coronal holes","
Abstract: Coronal plumes, which extend from solar coronal holes (CH) into the high
corona and - possibly - into the solar wind (SW), can now continuously be
studied with modern telescopes and spectrometers on spacecraft, in addition to
investigations from the ground, in particular, during total eclipses. Despite
the large amount of data available on these prominent features and related
phenomena, many questions remained unanswered as to their generation and
relative contributions to the high-speed streams emanating from CHs. An
understanding of the processes of plume formation and evolution requires a
better knowledge of the physical conditions at the base of CHs, in plumes and
in the surrounding inter-plume regions (IPR). More specifically, information is
needed on the magnetic field configuration, the electron densities and
temperatures, effective ion temperatures, non-thermal motions, plume
cross-sections relative to the size of a CH, the plasma bulk speeds, as well as
any plume signatures in the SW. In spring 2007, the authors proposed a study on
""Structure and dynamics of coronal plumes and inter-plume regions in solar
coronal holes"" to the International Space Science Institute (ISSI) in Bern to
clarify some of these aspects by considering relevant observations and the
extensive literature. This review summarizes the results and conclusions of the
study. Stereoscopic observations allowed us to include three-dimensional
reconstructions of plumes. Multi-instrument investigations carried out during
several campaigns led to progress in some areas, such as plasma densities,
temperatures, plume structure and the relation to other solar phenomena, but
not all questions could be answered concerning the details of plume generation
process(es) and interaction with the SW.
",https://export.arxiv.org/pdf/1103.4481
"Title:
On the mass of the Universe born in a black hole","
Abstract: It is shown, using the Einstein-Cartan-Sciama-Kibble theory of gravity, that
gravitational collapse of spin-fluid fermionic matter with a stiff equation of
state in a black hole of mass $M$ forms a new universe of mass $\sim M_\ast=M^2
m_n/m_\textrm{Pl}^2$, where $m_n$ is the mass of a neutron. Equaling $M_\ast$
to the mass of the Universe, which is about $10^{26}$ solar masses, gives
$M\sim 10^3$ solar masses. Our Universe may thus have originated from the
interior of an intermediate-mass black hole.
",https://export.arxiv.org/pdf/1103.4192
