Ttile,Annotation,PDF
Title:Gamma-Ray Bursts as the Death Throes of Massive Binary Stars,"
Abstract:  It is proposed that gamma-ray bursts are created in the mergers of double
neutron star binaries and black hole neutron star binaries at cosmological
distances. Bursts with complex profiles and relatively long durations are the
result of magnetic flares generated by the Parker instability in a post-merger
differentially-rotating disk. Some bursts may also be produced through
neutrino-antineutrino annihilation into electrons and positrons. In both cases,
an optically thick fireball of size $\sles\ 100$ km is initially created, which
expands ultrarelativistically to large radii before radiating. Several previous
objections to the cosmological merger model are eliminated. It is predicted
that $\gamma$-ray bursts will be accompanied by a burst of gravitational
radiation from the spiraling-in binary which could be detected by LIGO.

    ",https://arxiv.org/pdf/astro-ph/9204001
Title:Gravitational Lensing and the Variability of G,"
Abstract:  The four observables associated with gravitational lensing of distant quasars
by intervening galaxies: image splittings, relative amplifications, time
delays, and optical depths, provide separate measures of the strength of the
gravitational constant $G$ at cosmological distances. These allow one, in
principle, to factor out unknown lensing parameters to directly to probe the
variation of $G$ over cosmological time. We estimate constraints on $\dot{G}$
which may be derivable by this method both now and in the future. The limits
one may obtain can compete or exceed other direct limits on $\dot{G}$ today,
but unfortunately extracting this information, is not independent of the effort
to fix other cosmological parameters such as $H_0$ and $\Omega_0$ from lensing
observations.

    ",https://arxiv.org/pdf/astro-ph/9204002
Title:The Ptolemaic Gamma-Ray Burst Universe,"
Abstract:  The BATSE experiment on GRO has demonstrated the isotropic arrival directions
and flat $\log N$ {\it vs.} $\log S$ of cosmic gamma-ray bursts. These data are
best explained if the burst sources are distributed throughout an extended
spherical Galactic halo, as previously suggested by Jennings. The halo's radius
is at least 40 Kpc, and probably is more than 100 Kpc. I consider possible
origins of this halo, including primordial formation and neutron stars
recoiling from their birthplaces in the Galactic disc. A simple geometrical
model leads to a predicted relation between the dipole and quadrupole
anisotropy. I suggest that neutron stars born with low recoil become
millisecond pulsars, while those born with high recoil become the sources of
gamma-ray bursts; these populations are nearly disjoint. Quiescent counterparts
of gamma-ray bursts are predicted to be undetectably faint.

    ",https://arxiv.org/pdf/astro-ph/9204003
Title:Expanding Photospheres of Type II Supernovae and the Extragalactic Distance Scale,"
Abstract:  We use the Expanding Photosphere Method to determine distances to 10 type II
supernovae. The effects of asymmetries, extinction, and flux dilution are
explored. Using empirical evidence and time-independent, spherical models which
treat H and He in non-LTE, we show that blackbody corrections caused by flux
dilution are small for type II supernovae in the infrared, and in the optical
when their color temperatures are less than 6000~K. The extinction to a type
II-P supernova can be estimated from its light curve: the uncertainty
introduced into a distance measurement due to extinction is usually less than
10\%. Correcting for extinction and flux dilution we derive distances to 10
supernovae: SN 1968L, SN 1969L, SN 1970G, SN 1973R, SN 1979C, SN 1980K, SN
1987A, SN 1988A, SN 1990E, and SN 1990ae. The distance measurements span a wide
range, 50 kpc to 120 Mpc, which is unique among the methods for establishing
the extragalactic distance scale. The distances measured to SN 1970G in M101
and SN 1987A in the LMC are in good agreement with distances determined from
Cepheid variable stars. Our distance to the Virgo Cluster, 22 +- 3 Mpc, is
larger than recent distances estimates made using surface brightness
fluctuations, planetary nebula luminosity functions, and the Tully-Fisher
method. Using the distances determined from these type II supernovae we derive
a value of $H_0 = 60 \pm 10$ km sec$^{-1}$Mpc$^{-1}$. This value is subject to
errors caused by local deviations in the Hubble flow, but will soon be improved
by applying the Expanding Photosphere Method to several distant type II
supernovae.

    ",https://arxiv.org/pdf/astro-ph/9204004
Title:Radiation Transfer in Gamma-Ray Bursts,"
Abstract:  We have calculated gamma-ray radiative transport in regions of high energy
density, such as gamma-ray burst source regions, using a discrete ordinate,
discrete energy group method. The calculations include two-photon pair
production and annihilation, as well as three-photon pair annihilation. The
radiation field itself acts as an absorbing medium, and the optical depth
depends on its intensity, so the problem is intrinsically nonlinear. Spherical
divergence produces effective collimation of the flux. At high optical depth
the high energy ($E > 1$ MeV) portion of the emergent spectrum assumes a nearly
universal form. An approximate limit is derived for the high energy flux from a
gamma-ray burst source region of given size, and the implications of this limit
for the distance to the March 5, 1979 event are briefly discussed. We discuss
more generally the problem of very luminous bursts, and implications of
Galactic halo distances for flare models.

    ",https://arxiv.org/pdf/astro-ph/9204005
Title:Electroweak Baryogenesis with Electroweak Strings,"
Abstract:  If stable electroweak strings are copiously produced during the electroweak
phase transition, they may contribute significantly to the presently observed
baryon to entropy ratio of the Universe. This analysis establishes the
feasibility of implementing an electroweak baryogenesis scenario without a
first order phase transition.

    ",https://arxiv.org/pdf/astro-ph/9206001
Title:Primordial Nucleosynthesis and the Abundances of Beryllium and Boron,"
Abstract:  The ability to now make measurements of Be and B as well as put constraints
on \lisix\ abundances in metal-poor stars has led to a detailed reexamination
of Big Bang Nucleosynthesis in the $A\groughly6$ regime. The nuclear reaction
network has been significantly expanded with many new rates added. It is
demonstrated that although a number of $A>7$ reaction rates are poorly
determined, even with extreme values chosen, the standard homogeneous model is
unable to produce significant yields (Be/H and B/H $<10^{-17}$ when $A\le7$
abundances fit) above $A=7$ and the \liseven/\lisix\ ratio always exceeds 500.
We also preliminarily explore inhomogeneous models, such as those inspired by a
first order quark-hadron phase transition, where regions with high
neutron/proton ratios can allow some leakage up to $A>7$. However models that
fit the $A\le7$ abundances still seem to have difficulty in obtaining
significant $A>7$ yields.

    ",https://arxiv.org/pdf/astro-ph/9206002
Title:Gamma Ray Signatures from Ordinary Cosmic Strings,"
Abstract:  We calculate the flux of ultra high energy photons from individual ordinary
(i.e. non-superconducting) cosmic strings and compare the results with the
sensitivity of current and proposed TeV and EeV telescopes. Our calculations
give only upper limits for the gamma ray flux, since the source of the photons,
jets from particle production at cusps, may be weakened by back reaction
effects. For the usual cosmic distribution of strings, the predicted bursts
from strings with the value of mass per unit length associated with galaxy
formation or light strings may just be detectable. A diffuse gamma ray
background from light strings may also be seen by the Fly's Eye detector at
above $7 \times 10^{10}$ GeV.

    ",https://arxiv.org/pdf/astro-ph/9206003
Title:Dynamics of the Intermediate-Age Elliptical LMC Cluster NGC 1978,"
Abstract:  In this paper we investigate the internal dynamics of the LMC cluster NGC
1978 through the use of Photometric (CCD images) and kinematic (stellar radial
velocities) data. We apply a variety of dynamical models to this data,
including multi-mass King-Michie models and rotating and non-rotating oblate
spheroid models. We discuss the cluster mass-to-light ratio and place
constraints on the cluster mass function.

    ",https://arxiv.org/pdf/astro-ph/9206004
Title:Entropy of a Classical Stochastic Field and Cosmological Perturbation,"
Abstract:  We propose a general definition of nonequilibrium entropy of a classical
stochastic field. As an example of particular interest in cosmology we apply
this definition to compute the entropy of density perturbations in an
inflationary Universe. On the scales of structures in the Universe, the entropy
of density perturbations dominates over the statistical fluctuations of the
entropy of cosmic microwave photons, indicating the relevance of the entropy of
density fluctuations for structure formation.

    ",https://arxiv.org/pdf/astro-ph/9206005
